Season,Type,DayString,TimeString,DayOfWeek,DateTimeString,LastUpdated,Status,AwayTeam,AwayTeamScore,AwayTeamHasWon,HomeTeam,HomeTeamScore,HomeTeamHasWon,AwayTeamLogo,HomeTeamLogo,AwayFieldGoalPercentage,HomeFieldGoalPercentage,AwayThreePointPercentage,HomeThreePointPercentage,AwayTurnovers,HomeTurnovers,QuarterNames,HomeTeamQuarters,AwayTeamQuarters,Scope,OpenerHomeMoneyLine,OpenerAwayMoneyLine,OpenerHomePointSpread,OpenerAwayPointSpread,OpenerHomePointSpreadPayout,OpenerAwayPointSpreadPayout,OpenerOverUnder,OpenerOverPayout,OpenerUnderPayout,OpenerHomeTeamTotal,OpenerAwayTeamTotal,OpenerHomeTeamTotalPayout,OpenerAwayTeamTotalPayout,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine,ConsensusHomePointSpread,ConsensusAwayPointSpread,ConsensusHomePointSpreadPayout,ConsensusAwayPointSpreadPayout,ConsensusOverUnder,ConsensusOverPayout,ConsensusUnderPayout,ConsensusHomeTeamTotal,ConsensusAwayTeamTotal,ConsensusHomeTeamTotalPayout,ConsensusAwayTeamTotalPayout,DraftKingsHomeMoneyLine,DraftKingsAwayMoneyLine,DraftKingsHomePointSpread,DraftKingsAwayPointSpread,DraftKingsHomePointSpreadPayout,DraftKingsAwayPointSpreadPayout,DraftKingsOverUnder,DraftKingsOverPayout,DraftKingsUnderPayout,DraftKingsHomeTeamTotal,DraftKingsAwayTeamTotal,DraftKingsHomeTeamTotalPayout,DraftKingsAwayTeamTotalPayout,FanDuelHomeMoneyLine,FanDuelAwayMoneyLine,FanDuelHomePointSpread,FanDuelAwayPointSpread,FanDuelHomePointSpreadPayout,FanDuelAwayPointSpreadPayout,FanDuelOverUnder,FanDuelOverPayout,FanDuelUnderPayout,FanDuelHomeTeamTotal,FanDuelAwayTeamTotal,FanDuelHomeTeamTotalPayout,FanDuelAwayTeamTotalPayout,SugarHousePAHomeMoneyLine,SugarHousePAAwayMoneyLine,SugarHousePAHomePointSpread,SugarHousePAAwayPointSpread,SugarHousePAHomePointSpreadPayout,SugarHousePAAwayPointSpreadPayout,SugarHousePAOverUnder,SugarHousePAOverPayout,SugarHousePAUnderPayout,SugarHousePAHomeTeamTotal,SugarHousePAAwayTeamTotal,SugarHousePAHomeTeamTotalPayout,SugarHousePAAwayTeamTotalPayout,ParxHomeMoneyLine,ParxAwayMoneyLine,ParxHomePointSpread,ParxAwayPointSpread,ParxHomePointSpreadPayout,ParxAwayPointSpreadPayout,ParxOverUnder,ParxOverPayout,ParxUnderPayout,ParxHomeTeamTotal,ParxAwayTeamTotal,ParxHomeTeamTotalPayout,ParxAwayTeamTotalPayout,_888SportNJHomeMoneyLine,_888SportNJAwayMoneyLine,_888SportNJHomePointSpread,_888SportNJAwayPointSpread,_888SportNJHomePointSpreadPayout,_888SportNJAwayPointSpreadPayout,_888SportNJOverUnder,_888SportNJOverPayout,_888SportNJUnderPayout,_888SportNJHomeTeamTotal,_888SportNJAwayTeamTotal,_888SportNJHomeTeamTotalPayout,_888SportNJAwayTeamTotalPayout,RiversCasinoPAHomeMoneyLine,RiversCasinoPAAwayMoneyLine,RiversCasinoPAHomePointSpread,RiversCasinoPAAwayPointSpread,RiversCasinoPAHomePointSpreadPayout,RiversCasinoPAAwayPointSpreadPayout,RiversCasinoPAOverUnder,RiversCasinoPAOverPayout,RiversCasinoPAUnderPayout,RiversCasinoPAHomeTeamTotal,RiversCasinoPAAwayTeamTotal,RiversCasinoPAHomeTeamTotalPayout,RiversCasinoPAAwayTeamTotalPayout,CaesarsHomeMoneyLine,CaesarsAwayMoneyLine,CaesarsHomePointSpread,CaesarsAwayPointSpread,CaesarsHomePointSpreadPayout,CaesarsAwayPointSpreadPayout,CaesarsOverUnder,CaesarsOverPayout,CaesarsUnderPayout,CaesarsHomeTeamTotal,CaesarsAwayTeamTotal,CaesarsHomeTeamTotalPayout,CaesarsAwayTeamTotalPayout,PointsBetHomeMoneyLine,PointsBetAwayMoneyLine,PointsBetHomePointSpread,PointsBetAwayPointSpread,PointsBetHomePointSpreadPayout,PointsBetAwayPointSpreadPayout,PointsBetOverUnder,PointsBetOverPayout,PointsBetUnderPayout,PointsBetHomeTeamTotal,PointsBetAwayTeamTotal,PointsBetHomeTeamTotalPayout,PointsBetAwayTeamTotalPayout,BetMGMHomeMoneyLine,BetMGMAwayMoneyLine,BetMGMHomePointSpread,BetMGMAwayPointSpread,BetMGMHomePointSpreadPayout,BetMGMAwayPointSpreadPayout,BetMGMOverUnder,BetMGMOverPayout,BetMGMUnderPayout,BetMGMHomeTeamTotal,BetMGMAwayTeamTotal,BetMGMHomeTeamTotalPayout,BetMGMAwayTeamTotalPayout,UnibetHomeMoneyLine,UnibetAwayMoneyLine,UnibetHomePointSpread,UnibetAwayPointSpread,UnibetHomePointSpreadPayout,UnibetAwayPointSpreadPayout,UnibetOverUnder,UnibetOverPayout,UnibetUnderPayout,UnibetHomeTeamTotal,UnibetAwayTeamTotal,UnibetHomeTeamTotalPayout,UnibetAwayTeamTotalPayout,BarstoolHomeMoneyLine,BarstoolAwayMoneyLine,BarstoolHomePointSpread,BarstoolAwayPointSpread,BarstoolHomePointSpreadPayout,BarstoolAwayPointSpreadPayout,BarstoolOverUnder,BarstoolOverPayout,BarstoolUnderPayout,BarstoolHomeTeamTotal,BarstoolAwayTeamTotal,BarstoolHomeTeamTotalPayout,BarstoolAwayTeamTotalPayout
2024,RegularSeason,1/15/24,6:00 PM ET,Mon,1/15/24 @ 6:00 PM ET,,Scheduled,GS,,False,MEM,,False,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/MEM.png,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-120,100,-1,1,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/28/23,10:00 PM ET,Thu,12/28/23 @ 10:00 PM ET,,Final,MIA,114,True,GS,102,False,/assets/images/nba/logos/MIA.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","25, 26, 25, 26","22, 36, 33, 23",3,-132,112,-2,2,-112,-108,224.5,-110,-110,,,,,-247,201,-6.5,6.5,-110,-110,232,-112,-110,,,,,-258,210,-6.5,6.5,-110,-110,232,-112,-108,,,,,-260,215,-6.5,6.5,-110,-110,232,-110,-110,,,,,-245,200,-6.5,6.5,-110,-110,232,-112,-109,,,,,-245,195,-6.5,6.5,-110,-110,232,-112,-109,,,,,,,,,,,,,,,,,,-245,200,-6.5,6.5,-110,-110,232,-112,-109,,,,,-250,205,-6.5,6.5,-115,-105,231,-110,-110,,,,,-240,190,-6.5,6.5,-110,-110,232,-110,-110,,,,,-250,200,-6.5,6.5,-110,-110,232.5,-105,-115,,,,,-245,200,-6.5,6.5,-110,-110,232,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/25/23,2:30 PM ET,Mon,12/25/23 @ 2:30 PM ET,,Final,GS,114,False,DEN,120,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/DEN.png,,,,,,,"Q1, Q2, Q3, Q4","29, 24, 39, 28","26, 28, 35, 25",3,-202,164,-5,5,-112,-109,230.5,-110,-110,,,,,-297,237,-7.5,7.5,-111,-111,235.5,-110,-112,,,,,-290,235,-7.5,7.5,-105,-115,235,-115,-105,,,,,-330,265,-7.5,7.5,-110,-110,235,-112,-108,,,,,-286,235,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,-286,230,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,,,,,,,,,,,,,,-286,235,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,-285,228,-7,7,-110,-110,234.5,-110,-110,,,,,-325,250,-7.5,7.5,-110,-110,235.5,-110,-110,,,,,-300,240,-7.5,7.5,-110,-110,234.5,-115,-105,,,,,-286,235,-7.5,7.5,-112,-109,235.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/23/23,8:30 PM ET,Sat,12/23/23 @ 8:30 PM ET,,Final,POR,106,False,GS,126,True,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","23, 34, 32, 37","30, 16, 31, 29",3,-350,260,-9,9,-110,-110,233.5,-110,-110,,,,,-372,292,-8.5,8.5,-109,-112,232,-112,-109,,,,,-355,280,-8,8,-110,-110,231.5,-110,-110,,,,,-350,280,-8,8,-112,-108,231,-110,-110,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,,,,,,,,,,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,-385,300,-8.5,8.5,-110,-110,230.5,-105,-115,,,,,-350,280,-8,8,-110,-110,232,-110,-110,,,,,-350,280,-8.5,8.5,-105,-115,231.5,-110,-110,,,,,-385,300,-8.5,8.5,-109,-112,232,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/22/23,10:00 PM ET,Fri,12/22/23 @ 10:00 PM ET,,Final,WAS,118,False,GS,129,True,/assets/images/nba/logos/WAS.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","28, 35, 38, 28","25, 36, 22, 35",3,-750,500,-12,12,-110,-110,247.5,-110,-110,,,,,-604,438,-10.5,10.5,-113,-108,248,-108,-113,,,,,-575,425,-10.5,10.5,-112,-108,250,-110,-110,,,,,-560,420,-11,11,-108,-112,248.5,-108,-112,,,,,-590,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,-625,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,,,,,,,,,,,,,,-590,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,-600,430,-11,11,-105,-115,248.5,-110,-110,,,,,-550,400,-10.5,10.5,-110,-110,249,-110,-110,,,,,-600,425,-10.5,10.5,-110,-110,248.5,-115,-105,,,,,-590,440,-10.5,10.5,-114,-107,248,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/19/23,10:00 PM ET,Tue,12/19/23 @ 10:00 PM ET,,F/OT,BOS,126,False,GS,132,True,/assets/images/nba/logos/BOS.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4, OT","30, 32, 24, 35, 11","40, 25, 32, 24, 5",3,200,-245,5.5,-5.5,-110,-110,231.5,-110,-110,,,,,162,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,170,-205,4.5,-4.5,-102,-118,233.5,-112,-108,,,,,172,-205,5,-5,-110,-110,233.5,-112,-108,,,,,163,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,160,-200,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,,,,,,,,,,,,,,163,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,162,-195,5,-5,-105,-115,233.5,-110,-110,,,,,165,-200,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,165,-200,4.5,-4.5,-105,-115,233.5,-110,-110,,,,,163,-195,4.5,-4.5,-110,-110,233.5,-110,-110,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/17/23,9:00 PM ET,Sun,12/17/23 @ 9:00 PM ET,,Final,GS,118,True,POR,114,False,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/POR.png,,,,,,,"Q1, Q2, Q3, Q4","23, 26, 35, 30","27, 38, 24, 29",3,,,4,-4,-110,-110,233,-110,-110,,,,,190,-231,6,-6,-113,-108,232.5,-112,-109,,,,,190,-230,6,-6,-112,-108,232.5,-110,-110,,,,,188,-225,6,-6,-110,-110,233,-110,-110,,,,,190,-230,6,-6,-113,-108,232.5,-112,-109,,,,,185,-235,6,-6,-113,-108,232.5,-112,-109,,,,,,,,,,,,,,,,,,190,-230,6,-6,-113,-108,232.5,-112,-109,,,,,185,-225,6,-6,-110,-110,232.5,-110,-110,,,,,185,-225,6,-6,-110,-110,233.5,-110,-110,,,,,190,-250,5.5,-5.5,-105,-115,233.5,-110,-110,,,,,190,-230,6,-6,-113,-108,232.5,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/16/23,8:30 PM ET,Sat,12/16/23 @ 8:30 PM ET,,Final,BKN,120,False,GS,124,True,/assets/images/nba/logos/BKN.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","32, 38, 25, 29","25, 29, 35, 31",3,-162,136,-3.5,3.5,-110,-110,234.5,-110,-110,,,,,-159,134,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,-162,136,-3.5,3.5,-112,-108,235,-108,-112,,,,,-162,136,-3.5,3.5,-110,-110,235.5,-108,-112,,,,,-159,135,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,-162,132,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,,,,,,,,,,,,,,-159,135,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,-155,130,-3,3,-110,-110,235,-110,-110,,,,,-160,130,-3.5,3.5,-110,-110,234.5,-110,-110,,,,,-155,130,-3.5,3.5,-105,-115,234.5,-115,-105,,,,,-159,135,-3.5,3.5,-109,-112,234.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/14/23,10:30 PM ET,Thu,12/14/23 @ 10:30 PM ET,,Final,GS,113,False,LAC,121,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","29, 40, 30, 22","28, 28, 37, 20",3,,,-5.5,5.5,-110,-110,231.5,-110,-110,,,,,-146,121,-3,3,-113,-108,230.5,-109,-112,,,,,-125,105,-2,2,-112,-108,231,-112,-108,,,,,-136,116,-2.5,2.5,-112,-108,230.5,-110,-110,,,,,-152,128,-3,3,-113,-108,230.5,-109,-112,,,,,-155,125,-3,3,-113,-108,230.5,-109,-112,,,,,,,,,,,,,,,,,,-152,128,-3,3,-113,-108,230.5,-109,-112,,,,,-225,185,-5.5,5.5,-115,-105,231,-110,-110,,,,,-140,115,-2.5,2.5,-110,-110,232,-110,-110,,,,,-135,110,-2.5,2.5,-105,-115,231.5,-110,-110,,,,,-152,128,-3,3,-113,-108,230.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/12/23,10:00 PM ET,Tue,12/12/23 @ 10:00 PM ET,,Final,GS,116,False,PHO,119,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/PHO.png,,,,,,,"Q1, Q2, Q3, Q4","25, 28, 35, 31","25, 31, 31, 29",3,-162,136,-3.5,3.5,-110,-110,231.5,-110,-110,,,,,-105,-114,1,-1,-114,-108,228.5,-109,-112,,,,,100,-120,1,-1,-105,-115,228.5,-110,-110,,,,,102,-120,1.5,-1.5,-110,-110,228.5,-110,-110,,,,,-107,-110,1,-1,-114,-107,228.5,-108,-112,,,,,-109,-112,1,-1,-114,-107,228.5,-108,-112,,,,,,,,,,,,,,,,,,-107,-110,1,-1,-114,-107,228.5,-108,-112,,,,,100,-120,1.5,-1.5,-105,-115,228,-105,-115,,,,,-105,-115,1,-1,-110,-110,228.5,-110,-110,,,,,100,-120,1.5,-1.5,-110,-110,229.5,-105,-115,,,,,-107,-110,1,-1,-114,-107,228.5,-108,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/8/23,8:00 PM ET,Fri,12/8/23 @ 8:00 PM ET,,F/OT,GS,136,False,OKC,138,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/OKC.png,,,,,,,"Q1, Q2, Q3, Q4, OT","19, 37, 33, 29, 20","28, 34, 22, 34, 18",3,-170,140,-3.5,3.5,-110,-110,235,-110,-110,,,,,-150,125,-3.5,3.5,-107,-114,236.5,-109,-112,,,,,-155,130,-3,3,-112,-108,235,-110,-110,,,,,-142,120,-3,3,-112,-108,236,-108,-112,,,,,-150,125,-3.5,3.5,-107,-114,236.5,-109,-112,,,,,-152,125,-3.5,3.5,-107,-114,236.5,-109,-112,,,,,,,,,,,,,,,,,,-150,125,-3.5,3.5,-107,-114,236.5,-109,-112,,,,,-145,122,-3,3,-110,-110,236.5,-110,-110,,,,,-150,125,-3.5,3.5,-110,-110,236,-110,-110,,,,,-150,125,-3.5,3.5,-105,-115,235.5,-110,-110,,,,,-150,125,-3.5,3.5,-107,-114,236.5,-109,-112,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/6/23,10:00 PM ET,Wed,12/6/23 @ 10:00 PM ET,,Final,POR,106,False,GS,110,True,/assets/images/nba/logos/POR.png,/assets/images/nba/logos/GS.png,,,,,,,"Q1, Q2, Q3, Q4","22, 26, 34, 28","26, 29, 31, 20",3,-600,440,-11,11,-110,-110,224.5,-110,-110,,,,,-811,556,-12.5,12.5,-111,-110,225.5,-112,-109,,,,,-750,525,-12.5,12.5,-112,-108,225.5,-112,-108,,,,,-750,530,-13,13,-106,-114,225.5,-112,-108,,,,,-835,575,-12.5,12.5,-110,-110,226,-112,-109,,,,,-835,550,-12.5,12.5,-110,-110,226,-112,-109,,,,,,,,,,,,,,,,,,-835,575,-12.5,12.5,-110,-110,226,-112,-109,,,,,-800,550,-12.5,12.5,-110,-110,225.5,-110,-110,,,,,-800,550,-12.5,12.5,-110,-110,225.5,-110,-110,,,,,-800,550,-12.5,12.5,-115,-105,225.5,-115,-105,,,,,-835,575,-12.5,12.5,-110,-110,226,-112,-109,,,,,,,,,,,,,,,,,
2024,RegularSeason,12/2/23,4:00 PM ET,Sat,12/2/23 @ 4:00 PM ET,,Final,GS,112,False,LAC,113,True,/assets/images/nba/logos/GS.png,/assets/images/nba/logos/LAC.png,,,,,,,"Q1, Q2, Q3, Q4","22, 26, 37, 28","33, 34, 25, 20",3,-185,150,-4.5,4.5,-110,-110,231.5,-110,-110,,,,,-205,168,-5,5,-113,-109,229.5,-110,-110,,,,,-205,170,-5,5,-115,-105,229.5,-110,-110,,,,,-220,184,-5.5,5.5,-110,-110,229.5,-110,-110,,,,,-200,165,-5,5,-112,-109,230,-113,-108,,,,,-200,163,-5,5,-112,-109,230,-113,-108,,,,,,,,,,,,,,,,,,-200,165,-5,5,-112,-109,230,-113,-108,,,,,-195,162,-5,5,-115,-105,229.5,-110,-110,,,,,-210,175,-5.5,5.5,-110,-110,229.5,-110,-110,,,,,-210,170,-5.5,5.5,-110,-110,230.5,-105,-115,,,,,-200,165,-5,5,-112,-109,230,-113,-108,,,,,,,,,,,,,,,,,
